Ship name,Year,Month,Day,Latitude,Longitude,Keyed wind direction,Magnetic wind direction,True wind direction,Keyed wind descriptors,Wind descriptors as text,Beaufort wind force,Wind speed (m/s),Keyed air temperature,Converted air temperature (C),Keyed pressure,Converted pressure (hPa)
Melville Castle               ,1790,03,18, 32.4, -15.6,SXE       ,168,146,    089   ,          Decreasing,  ,    , 6900,20.6,     ,    
Ocean 1                       ,1791,12,26, 39.4, -12.2,NW        ,315,293,    060   ,            Moderate, 4, 6.7, 5800,14.4,     ,    
Ocean 1                       ,1791,12,27, 38.0, -13.9,NXW       ,348,329,    060   ,            Moderate, 4, 6.7, 5800,14.4,     ,    
Ocean 1                       ,1791,12,28, 35.5, -15.1,          ,   ,   ,    060   ,            Moderate, 4, 6.7, 5800,14.4,     ,    
Melville Castle               ,1792,03,16, 39.9, -14.2,          ,   ,   ,       003,                Calm, 0, 0.0, 5600,13.3,     ,    
Melville Castle               ,1792,03,17, 39.0, -13.4,WXN       ,281,261,    062002,     Pleasant Breeze, 4, 6.7, 5900,15.0,     ,    
Melville Castle               ,1792,03,18, 36.7, -14.4,          ,   ,   ,    062002,     Pleasant Breeze, 4, 6.7, 5800,14.4,     ,    
Melville Castle               ,1792,03,19, 34.9, -15.4,          ,   ,   ,       015,                Wind,  ,    , 5800,14.4,     ,    
Ocean 1                       ,1792,03,29, 37.3,  -9.9,          ,   ,   ,    089   ,          Decreasing,  ,    , 6700,19.4,     ,    
Ocean 1                       ,1792,03,30, 37.7, -11.9,NW        ,315,295,    055   ,          Increasing,  ,    , 6500,18.3,     ,    
Warley 1                      ,1793,03,27, 34.0, -11.8,VTE       ,   ,   ,    058002,        Light Breeze, 2, 2.6, 7200,22.2,     ,    
Warley 1                      ,1793,03,29, 34.5, -13.7,NEXE      , 56, 35,          ,                    ,  ,    , 7000,21.1,     ,    
Exeter 2                      ,1793,06,25, 37.8,  -8.7,NE        , 45, 36,    058002,        Light Breeze, 2, 2.6, 5700,13.9,     ,    
Exeter 2                      ,1793,07,04, 38.5, -13.1,          ,   ,   ,    006005,           Hard Gale,10,26.8,     ,    ,     ,    
Exeter 2                      ,1793,07,05, 38.0, -13.4,          ,   ,   ,    058001,           Light Air, 1, 1.0,     ,    ,     ,    
Ocean 1                       ,1794,05,15, 39.1, -12.6,NEXE      , 56, 34,    060002,     Moderate Breeze, 4, 6.7, 5950,15.3,30500,1029.7
Woodford 1                    ,1794,05,15, 39.1, -12.9,          ,   ,   ,    060002,     Moderate Breeze, 4, 6.7, 6160,16.4,     ,    
Lord Hawkesbury               ,1794,05,15, 39.1, -12.9,          ,   ,   ,    048002,         Fine Breeze, 5, 9.3, 6000,15.6,     ,    
Taunton Castle                ,1794,05,15, 39.1, -12.2,          ,   ,   ,    062002,     Pleasant Breeze, 4, 6.7, 6200,16.7,30240,1020.7
Rockingham 1                  ,1794,05,15, 39.1, -12.8,          ,   ,   ,          ,                    ,  ,    , 6000,15.6,     ,    
Carnatic 2                    ,1794,05,15, 39.1, -12.4,NE        , 45, 23,    049002,        Fresh Breeze, 5, 9.3,     ,    ,     ,    
Phoenix 3                     ,1794,05,15, 39.1, -13.2,          ,   ,   ,    049002,        Fresh Breeze, 5, 9.3,     ,    ,     ,    
Ocean 1                       ,1794,05,16, 37.4, -13.9,          ,   ,   ,    060   ,            Moderate, 4, 6.7, 6450,18.1,30390,1025.4
Woodford 1                    ,1794,05,16, 37.3, -14.3,          ,   ,   ,    058002,        Light Breeze, 2, 2.6, 6400,17.8,     ,    
Lord Hawkesbury               ,1794,05,16, 37.3, -14.2,          ,   ,   ,    048002,         Fine Breeze, 5, 9.3, 6200,16.7,     ,    
Taunton Castle                ,1794,05,16, 37.3, -12.6,          ,   ,   ,          ,                    ,  ,    , 6500,18.3,30180,1018.2
Rockingham 1                  ,1794,05,16, 37.3, -14.2,          ,   ,   ,          ,                    ,  ,    , 6250,16.9,     ,    
Carnatic 2                    ,1794,05,16, 37.3, -13.8,          ,   ,   ,    048002,         Fine Breeze, 5, 9.3, 6400,17.8,     ,    
Phoenix 3                     ,1794,05,16, 37.3, -14.4,          ,   ,   ,    067002,       Steady Breeze, 5, 9.3,     ,    ,     ,    
Ocean 1                       ,1794,05,17, 35.7, -14.8,          ,   ,   ,    060   ,            Moderate, 4, 6.7, 6400,17.8,30330,1023.3
Woodford 1                    ,1794,05,17, 35.6, -15.2,          ,   ,   ,    058002,        Light Breeze, 2, 2.6, 6550,18.6,     ,    
Lord Hawkesbury               ,1794,05,17, 35.6, -15.2,NE        , 45, 24,    062002,     Pleasant Breeze, 4, 6.7, 6400,17.8,     ,    
Taunton Castle                ,1794,05,17, 35.7, -14.4,          ,   ,   ,    062002,     Pleasant Breeze, 4, 6.7, 6400,17.8,30150,1017.2
Rockingham 1                  ,1794,05,17, 35.6, -15.2,          ,   ,   ,          ,                    ,  ,    , 6350,17.5,     ,    
Carnatic 2                    ,1794,05,17, 35.6, -14.8,          ,   ,   ,    058002,        Light Breeze, 2, 2.6, 6500,18.3,     ,    
Phoenix 3                     ,1794,05,17, 35.6, -15.3,          ,   ,   ,          ,                    ,  ,    ,     ,    ,     ,    
Ocean 1                       ,1794,05,18, 34.0, -14.8,          ,   ,   ,    060   ,            Moderate, 4, 6.7, 6500,18.3,30330,1023.0
Taunton Castle                ,1794,05,18, 33.9, -15.7,          ,   ,   ,    067002,       Steady Breeze, 5, 9.3, 6700,19.4,30800,1038.7
Taunton Castle                ,1794,05,19, 32.5, -15.8,NXE       , 11,352,    069002,       Strong Breeze, 6,12.3, 6700,19.4,29930,1009.2
Carnatic 2                    ,1794,05,19, 32.5, -16.0,NNE       , 22,  3,    049002,        Fresh Breeze, 5, 9.3,     ,    ,     ,    
Warley 1                      ,1794,06,01, 38.5, -15.8,NNE       , 22,359,          ,                    ,  ,    , 6400,17.8,     ,    
Warley 1                      ,1794,06,02, 38.2, -15.2,NW        ,315,292,          ,                    ,  ,    , 6100,16.1,     ,    
Warley 1                      ,1794,06,03, 37.1, -15.1,SW        ,225,202,          ,                    ,  ,    , 6100,16.1,     ,    
Warley 1                      ,1794,06,05, 34.5, -12.8,SSW       ,202,181,          ,                    ,  ,    , 6100,16.1,     ,    
Lord Thurlow                  ,1794,06,06, 33.5, -15.2,SXW       ,191,167,    060   ,            Moderate, 4, 6.7,     ,    ,     ,    
Exeter 2                      ,1794,06,06, 33.4, -14.6,          ,   ,   ,    062002,     Pleasant Breeze, 4, 6.7, 6000,15.6,     ,    
Warley 1                      ,1794,06,06, 32.8, -11.5,SXE       ,168,147,          ,                    ,  ,    , 6200,16.7,     ,    
Walpole 4                     ,1794,07,04, 39.0, -14.8,          ,   ,   ,    062002,     Pleasant Breeze, 4, 6.7,     ,    ,     ,    
Walpole 4                     ,1794,07,05, 37.6, -15.7,NXE       , 11,351,    058002,        Light Breeze, 2, 2.6,     ,    ,     ,    
Woodford 1                    ,1794,07,14, 33.9, -14.4,W         ,270,263,          ,                    ,  ,    , 6050,15.8,     ,    
Taunton Castle                ,1794,07,14, 33.8, -14.9,WSW       ,247,240,          ,                    ,  ,    , 6200,16.7,29950,1010.5
Ocean 1                       ,1794,07,15, 33.3, -10.4,          ,   ,   ,    069005,         Strong Gale, 9,22.6, 5000,10.0,30080,1015.9
Lord Hawkesbury               ,1794,07,15, 33.3, -10.4,SW        ,225,215,    055005,     Increasing Gale,  ,    , 5700,13.9,     ,    
Taunton Castle                ,1794,07,15, 34.1, -10.8,WSW       ,247,237,    049005,          Fresh Gale, 8,19.0, 6100,16.1,29900,1008.9
Rockingham 1                  ,1794,07,15, 33.4, -10.9,          ,   ,   ,          ,                    ,  ,    , 5409,12.3,     ,    
Carnatic 2                    ,1794,07,15, 33.3, -11.0,          ,   ,   ,    042006,        Blowing Hard,10,26.8, 5750,14.2,     ,    
Phoenix 3                     ,1794,07,15, 33.3, -10.7,          ,   ,   ,          ,                    ,  ,    , 6500,18.3,     ,    
Ocean 1                       ,1794,07,16, 33.4,  -8.0,          ,   ,   ,    089   ,          Decreasing,  ,    , 5150,10.8,30320,1023.9
Rockingham 1                  ,1794,07,16, 33.4,  -8.2,SEXS      ,146,136,    060   ,            Moderate, 4, 6.7, 5200,11.1,     ,    
Carnatic 2                    ,1794,07,16, 33.4,  -8.3,SXE       ,168,158,    016060,       More Moderate,  ,    , 5600,13.3,     ,    
Carnatic 2                    ,1794,07,17, 33.5,  -8.2,V         ,   ,   ,    055   ,          Increasing,  ,    , 5550,13.1,     ,    
Walpole 4                     ,1794,08,29, 34.0, -13.7,WXN       ,281,274,    062002,     Pleasant Breeze, 4, 6.7, 5650,13.6,     ,    
Walpole 4                     ,1794,08,30, 34.7, -10.3,WNW       ,292,282,    049002,        Fresh Breeze, 5, 9.3,     ,    ,     ,    
Walpole 4                     ,1794,08,31, 34.6,  -8.9,          ,   ,   ,    049002,        Fresh Breeze, 5, 9.3,     ,    ,     ,    
Royal Admiral 1               ,1794,08,31, 39.2, -14.5,NWXW      ,303,282,          ,                    ,  ,    , 7150,21.9,     ,    
Royal Admiral 1               ,1794,09,01, 37.8, -14.9,V         ,   ,   ,    058001,           Light Air, 1, 1.0, 7300,22.8,     ,    
Royal Admiral 1               ,1794,09,02, 36.5, -15.8,          ,   ,   ,    058001,           Light Air, 1, 1.0, 7250,22.5,     ,    
Cirencester                   ,1795,07,17, 39.7, -11.2,          ,   ,   ,          ,                    ,  ,    , 6350,17.5,30800,1039.5
Rockingham 1                  ,1795,07,30, 34.3, -15.5,NEXN      , 33, 10,    058001,           Light Air, 1, 1.0,     ,    ,     ,    
Rockingham 1                  ,1795,07,31, 33.0, -14.2,NWXW      ,303,280,    049002,        Fresh Breeze, 5, 9.3,     ,    ,     ,    
Rockingham 1                  ,1795,08,01, 32.5, -13.3,N         ,360,338,          ,                    ,  ,    ,     ,    ,     ,    
Carnatic 2                    ,1795,08,08, 35.5, -15.4,          ,   ,   ,    060002,     Moderate Breeze, 4, 6.7,     ,    ,     ,    
Carnatic 2                    ,1795,08,09, 35.0, -15.2,WNW       ,292,268,       003,                Calm, 0, 0.0,     ,    ,     ,    
Carnatic 2                    ,1795,08,10, 33.5, -15.2,SEXS      ,146,122,          ,                    ,  ,    ,     ,    ,     ,    
Essex 4                       ,1796,04,25, 37.9, -12.9,NE        , 45, 24,          ,                    ,  ,    , 5900,15.0,30200,1019.5
Essex 4                       ,1796,04,26, 35.4, -14.2,          ,   ,   ,    067002,       Steady Breeze, 5, 9.3, 6200,16.7,30200,1019.0
Woodford 1                    ,1796,05,26, 36.3, -15.2,          ,   ,   ,          ,                    ,  ,    , 6900,20.6,     ,    
Airly Castle                  ,1796,07,06, 39.4, -13.6,          ,   ,   ,          ,                    ,  ,    , 6600,18.9,     ,    
Princess Charlotte 1          ,1796,07,06, 39.4, -13.2,NEXN      , 33, 11,    060002,     Moderate Breeze, 4, 6.7,     ,    ,     ,    
Melville Castle               ,1796,07,06, 39.3, -13.1,NE        , 45, 23,          ,                    ,  ,    ,     ,    ,     ,    
True Briton 4                 ,1796,07,06, 39.4, -13.7,NNE       , 22,  1,    060002,     Moderate Breeze, 4, 6.7, 6400,17.8,30250,1020.9
Lord Hawkesbury               ,1796,07,06, 39.4, -13.2,NE        , 45, 23,    060002,     Moderate Breeze, 4, 6.7, 6700,19.4,     ,    
Henry Addington 1             ,1796,07,06, 39.4, -14.2,          ,   ,   ,          ,                    ,  ,    , 6600,18.9,     ,    
Cuffnells                     ,1796,07,06, 39.3, -13.4,          ,   ,   ,    049002,        Fresh Breeze, 5, 9.3,     ,    ,     ,    
Airly Castle                  ,1796,07,07, 37.1, -14.2,          ,   ,   ,    062002,     Pleasant Breeze, 4, 6.7, 6400,17.8,     ,    
Princess Charlotte 1          ,1796,07,07, 37.1, -13.3,          ,   ,   ,    055002,   Increasing Breeze,  ,    ,     ,    ,     ,    
Melville Castle               ,1796,07,07, 37.1, -13.1,          ,   ,   ,          ,                    ,  ,    ,     ,    ,     ,    
True Briton 4                 ,1796,07,07, 37.1, -13.8,          ,   ,   ,    062002,     Pleasant Breeze, 4, 6.7,     ,    ,     ,    
Lord Hawkesbury               ,1796,07,07, 37.1, -13.5,NE        , 45, 24,    049002,        Fresh Breeze, 5, 9.3, 6600,18.9,     ,    
Henry Addington 1             ,1796,07,07, 37.1, -14.3,          ,   ,   ,          ,                    ,  ,    , 6600,18.9,     ,    
Cuffnells                     ,1796,07,07, 37.1, -14.6,          ,   ,   ,          ,                    ,  ,    , 6500,18.3,29660,1000.7
Airly Castle                  ,1796,07,08, 34.6, -14.8,          ,   ,   ,    049002,        Fresh Breeze, 5, 9.3, 6600,18.9,     ,    
Princess Charlotte 1          ,1796,07,08, 34.6, -14.3,          ,   ,   ,    049002,        Fresh Breeze, 5, 9.3,     ,    ,     ,    
Melville Castle               ,1796,07,08, 34.5, -14.1,          ,   ,   ,          ,                    ,  ,    ,     ,    ,     ,    
True Briton 4                 ,1796,07,08, 34.6, -15.2,          ,   ,   ,    062002,     Pleasant Breeze, 4, 6.7, 6700,19.4,30100,1015.1
Lord Hawkesbury               ,1796,07,08, 34.5, -14.4,NE        , 45, 24,    043005,          Brisk Gale, 6,12.3, 6750,19.7,     ,    
Henry Addington 1             ,1796,07,08, 34.6, -14.3,          ,   ,   ,          ,                    ,  ,    ,     ,    ,     ,    
Cuffnells                     ,1796,07,08, 34.6, -15.7,          ,   ,   ,    049005,          Fresh Gale, 8,19.0, 6600,18.9,29650,1000.0
Essex 4                       ,1796,07,11, 32.3,  -8.3,NW        ,315,304,          ,                    ,  ,    , 6300,17.2,30000,1011.9
Essex 4                       ,1796,07,17, 35.1, -12.6,NEXE      , 56, 34,    058015,          Light Wind,  ,    , 5900,15.0,30000,1012.5
Essex 4                       ,1796,07,18, 35.3,  -8.3,V         ,   ,   ,          ,                    ,  ,    , 5800,14.4,29500,995.8
Essex 4                       ,1796,07,19, 35.0, -11.7,W         ,270,248,          ,                    ,  ,    , 5500,12.8,     ,    
Essex 4                       ,1796,07,20, 34.5, -14.4,WNW       ,292,268,          ,                    ,  ,    , 5800,14.4,29900,1009.2
Ocean 1                       ,1796,07,22, 33.1, -14.6,          ,   ,   ,    060002,     Moderate Breeze, 4, 6.7, 6550,18.6,29950,1010.1
Woodford 1                    ,1796,07,22, 33.1,  -9.2,          ,   ,   ,       015,                Wind,  ,    , 6350,17.5,30940,1043.6
Ocean 1                       ,1796,07,23, 33.6, -12.2,          ,   ,   ,    060002,     Moderate Breeze, 4, 6.7, 6350,17.5,29950,1010.3
Ocean 1                       ,1796,07,24, 34.3,  -8.3,          ,   ,   ,    055   ,          Increasing,  ,    , 6500,18.3,29750,1003.5
Woodford 1                    ,1796,07,24, 34.2,  -9.1,          ,   ,   ,    062002,     Pleasant Breeze, 4, 6.7, 6900,20.6,30940,1043.2
Britannia 4                   ,1797,03,03, 38.3, -14.1,WXS       ,258,238,    049005,          Fresh Gale, 8,19.0, 6200,16.7,29850,1007.5
Lord Thurlow                  ,1797,03,24, 39.5, -11.3,WSW       ,247,225,          ,                    ,  ,    ,     ,    ,     ,    
Warley 2                      ,1797,03,24, 39.7, -11.8,WSW       ,247,225,          ,                    ,  ,    , 6000,15.6,     ,    
Lord Thurlow                  ,1797,03,25, 36.5, -13.5,SE        ,135,114,          ,                    ,  ,    ,     ,    ,     ,    
Warley 2                      ,1797,03,25, 36.5, -11.8,NEXN      , 33, 13,          ,                    ,  ,    , 5700,13.9,     ,    
Lord Thurlow                  ,1797,03,26, 33.2, -13.9,          ,   ,   ,    049002,        Fresh Breeze, 5, 9.3,     ,    ,     ,    
Warley 2                      ,1797,03,26, 33.2, -12.8,          ,   ,   ,          ,                    ,  ,    , 6000,15.6,     ,    
Lord Thurlow                  ,1797,03,27, 32.2, -14.7,NE        , 45, 25,          ,                    ,  ,    ,     ,    ,     ,    
Warley 2                      ,1797,03,27, 32.6, -13.8,NE        , 45, 25,          ,                    ,  ,    , 6400,17.8,     ,    
Earl Howe                     ,1798,03,03, 39.4, -14.2,          ,   ,   ,          ,                    ,  ,    , 6100,16.1,30200,1019.5
Earl Howe                     ,1798,03,04, 38.5, -15.3,          ,   ,   ,          ,                    ,  ,    , 6200,16.7,30200,1019.3
Lord Duncan                   ,1798,05,15, 33.9, -15.1,SW        ,225,205,    049002,        Fresh Breeze, 5, 9.3, 6400,17.8,     ,    
Melville Castle               ,1798,05,15, 34.0, -14.6,SWXW      ,236,215,    049002,        Fresh Breeze, 5, 9.3, 6500,18.3,     ,    
Lord Duncan                   ,1798,05,16, 33.1, -15.2,          ,   ,   ,    058001,           Light Air, 1, 1.0, 6700,19.4,     ,    
Melville Castle               ,1798,05,16, 33.1, -14.9,          ,   ,   ,       003,                Calm, 0, 0.0, 6500,18.3,     ,    
Melville Castle               ,1798,05,17, 32.8, -16.0,SXW       ,191,171,    049002,        Fresh Breeze, 5, 9.3, 6600,18.9,     ,    
Rockingham 1                  ,1798,08,10, 36.1,  -9.2,NNW       ,337,328,          ,                    ,  ,    , 6100,16.1,     ,    
Lord Duncan                   ,1798,08,12, 37.3,  -8.3,          ,   ,   ,          ,                    ,  ,    , 6000,15.6,     ,    
Melville Castle               ,1798,08,12, 37.3,  -8.4,          ,   ,   ,    049005,          Fresh Gale, 8,19.0, 5800,14.4,     ,    
Lord Duncan                   ,1798,08,13, 37.3, -12.1,          ,   ,   ,    062131,                    ,-1,    ,     ,    ,     ,    
Melville Castle               ,1798,08,13, 37.3, -13.0,          ,   ,   ,          ,                    ,  ,    , 5800,14.4,     ,    
Royal Charlotte 5             ,1798,10,06, 38.5,  -9.6,EXN       , 78, 58,    058015,          Light Wind,  ,    ,     ,    ,     ,    
Royal Charlotte 5             ,1798,10,08, 37.9, -11.0,SSE       ,157,136,    058015,          Light Wind,  ,    , 7000,21.1,     ,    
Cuffnells                     ,1798,10,08, 38.0, -11.2,          ,   ,   ,    058015,          Light Wind,  ,    , 7300,22.8,29640,999.4
Royal Charlotte 5             ,1798,10,09, 37.8, -12.1,V         ,   ,   ,    060002,     Moderate Breeze, 4, 6.7, 7000,21.1,     ,    
Cuffnells                     ,1798,10,09, 37.7, -12.5,V         ,   ,   ,    058002,        Light Breeze, 2, 2.6, 7150,21.9,29580,997.5
Royal Charlotte 5             ,1798,10,10, 37.2, -13.7,SWXS      ,213,193,    060002,     Moderate Breeze, 4, 6.7, 7300,22.8,     ,    
Cuffnells                     ,1798,10,10, 37.2, -13.9,SSW       ,202,181,    060002,     Moderate Breeze, 4, 6.7, 7200,22.2,29620,998.7
Royal Charlotte 5             ,1798,10,11, 37.4, -15.0,SWXW      ,236,215,    060002,     Moderate Breeze, 4, 6.7, 7400,23.3,     ,    
Cuffnells                     ,1798,10,11, 37.4, -14.6,WSW       ,247,226,    058002,        Light Breeze, 2, 2.6, 7350,23.1,29750,1003.0
Ocean 3                       ,1798,10,24, 39.7, -14.1,WSW       ,247,225,    049002,        Fresh Breeze, 5, 9.3,     ,    ,     ,    
Ocean 3                       ,1798,10,25, 39.2, -14.6,SXE       ,168,146,    058015,          Light Wind,  ,    ,     ,    ,     ,    
Ocean 3                       ,1798,10,26, 39.4, -15.0,WSW       ,247,225,    049005,          Fresh Gale, 8,19.0,     ,    ,     ,    
Ocean 3                       ,1798,10,27, 38.4, -15.7,V         ,   ,   ,    049002,        Fresh Breeze, 5, 9.3,     ,    ,     ,    
Ocean 3                       ,1798,10,29, 36.3, -15.2,WXS       ,258,238,    069015,         Strong Wind, 8,19.0,     ,    ,     ,    
Ocean 3                       ,1798,10,30, 35.1, -15.9,WXN       ,281,260,    058015,          Light Wind,  ,    ,     ,    ,     ,    
Minerva 1                     ,1799,04,30, 40.0, -14.7,NEXE      , 56, 33,          ,                    ,  ,    , 5900,15.0,     ,    
Britannia 4                   ,1799,05,01, 37.7, -15.4,          ,   ,   ,    049002,        Fresh Breeze, 5, 9.3, 6200,16.7,30100,1015.9
Lord Hawkesbury               ,1799,05,01, 37.7, -15.4,SWXS      ,213,193,    062002,     Pleasant Breeze, 4, 6.7, 6000,15.6,     ,    
Minerva 1                     ,1799,05,01, 37.6, -15.4,          ,   ,   ,          ,                    ,  ,    , 5900,15.0,     ,    
Lord Hawkesbury               ,1799,05,02, 35.1, -15.8,          ,   ,   ,    067002,       Steady Breeze, 5, 9.3, 6200,16.7,     ,    
Minerva 1                     ,1799,05,02, 35.9, -15.9,          ,   ,   ,          ,                    ,  ,    , 5850,14.7,     ,    
Preston                       ,1799,06,03, 34.9, -13.9,          ,   ,   ,    060   ,            Moderate, 4, 6.7, 5700,13.9,     ,    
Lord Thurlow                  ,1799,06,03, 34.7, -13.2,          ,   ,   ,          ,                    ,  ,    , 6200,16.7,     ,    
Preston                       ,1799,06,04, 35.2, -11.3,NWXW      ,303,296,    055002,   Increasing Breeze,  ,    , 5600,13.3,     ,    
Lord Thurlow                  ,1799,06,04, 35.0, -10.7,          ,   ,   ,          ,                    ,  ,    , 6200,16.7,     ,    
Preston                       ,1799,06,05, 35.5,  -9.9,ENE       , 67, 56,    060002,     Moderate Breeze, 4, 6.7, 5900,15.0,     ,    
Ocean 3                       ,1800,01,13, 33.2, -15.7,SSE       ,157,132,    069005,         Strong Gale, 9,22.6, 6700,19.4,     ,    
Canton                        ,1800,01,24, 39.8, -15.2,          ,   ,   ,    060   ,            Moderate, 4, 6.7,     ,    ,     ,    
Canton                        ,1800,01,25, 39.0, -14.8,SWXW      ,236,213,    049002,        Fresh Breeze, 5, 9.3, 5800,14.4,     ,    
Canton                        ,1800,01,26, 38.2, -14.3,WXS       ,258,237,    058001,           Light Air, 1, 1.0, 5900,15.0,     ,    
Canton                        ,1800,01,27, 37.0, -15.2,          ,   ,   ,    058001,           Light Air, 1, 1.0, 5700,13.9,     ,    
Canton                        ,1800,03,18, 32.1, -11.4,          ,   ,   ,          ,                    ,  ,    , 7500,23.9,     ,    
Ceres 4                       ,1800,03,27, 39.3, -14.5,SWXW      ,236,213,    049005,          Fresh Gale, 8,19.0, 5900,15.0,     ,    
Lord Nelson                   ,1800,03,27, 39.3, -15.1,          ,   ,   ,    049005,          Fresh Gale, 8,19.0, 5800,14.4,29600,999.5
Lady Burges                   ,1800,03,27, 39.6, -13.3,SWXW      ,236,213,    042006,        Blowing Hard,10,26.8,     ,    ,     ,    
Earl St. Vincent 1            ,1800,03,29, 36.0, -15.6,          ,   ,   ,    049015,          Fresh Wind, 6,12.3, 6300,17.2,     ,    
Ceres 4                       ,1800,03,29, 36.1, -15.6,NNW       ,337,316,    060015,       Moderate Wind,  ,    , 6000,15.6,     ,    
Lord Nelson                   ,1800,03,29, 36.1, -13.3,NWXW      ,303,282,    049002,        Fresh Breeze, 5, 9.3, 6100,16.1,29910,1009.4
Lady Burges                   ,1800,03,29, 36.0, -13.8,WXN       ,281,260,          ,                    ,  ,    , 6300,17.2,     ,    
Earl Spencer 2                ,1800,07,14, 39.2, -14.5,          ,   ,   ,          ,                    ,  ,    , 6800,20.0,     ,    
Melville Castle               ,1800,07,14, 39.1, -13.2,          ,   ,   ,    049005,          Fresh Gale, 8,19.0, 6800,20.0,     ,    
Herculean                     ,1800,07,14, 39.1, -13.1,          ,   ,   ,    043005,          Brisk Gale, 6,12.3, 6500,18.3,     ,    
Earl Spencer 2                ,1800,07,15, 37.0, -14.9,          ,   ,   ,    062002,     Pleasant Breeze, 4, 6.7, 6940,20.8,     ,    
Melville Castle               ,1800,07,15, 36.9, -13.6,          ,   ,   ,    062002,     Pleasant Breeze, 4, 6.7, 7100,21.7,     ,    
Herculean                     ,1800,07,15, 36.8, -13.6,          ,   ,   ,    067002,       Steady Breeze, 5, 9.3, 6750,19.7,     ,    
Earl Spencer 2                ,1800,07,16, 34.9, -16.0,          ,   ,   ,    062002,     Pleasant Breeze, 4, 6.7, 6910,20.6,     ,    
Melville Castle               ,1800,07,16, 34.9, -14.6,          ,   ,   ,    062002,     Pleasant Breeze, 4, 6.7, 6900,20.6,     ,    
Herculean                     ,1800,07,16, 34.9, -14.6,          ,   ,   ,    060002,     Moderate Breeze, 4, 6.7, 6700,19.4,     ,    
Earl Spencer 2                ,1800,07,17, 33.0, -15.8,V         ,   ,   ,          ,                    ,  ,    , 7000,21.1,     ,    
Melville Castle               ,1800,07,17, 33.2, -15.8,N         ,360,340,    062002,     Pleasant Breeze, 4, 6.7, 7000,21.1,     ,    
Rockingham 1                  ,1800,08,22, 33.4, -14.9,WXN       ,281,273,          ,                    ,  ,    , 5600,13.3,     ,    
City of London                ,1800,08,22, 33.3, -13.2,NWXW      ,303,295,          ,                    ,  ,    , 6000,15.6,     ,    
City of London                ,1800,08,23, 33.9,  -9.5,          ,   ,   ,    049002,        Fresh Breeze, 5, 9.3, 6000,15.6,     ,    
Bengal                        ,1800,08,23, 33.9, -12.8,          ,   ,   ,          ,                    ,  ,    ,     ,    ,30400,1025.8
City of London                ,1800,08,24, 33.7,  -9.1,SEXS      ,146,135,          ,                    ,  ,    , 5800,14.4,     ,    
Bengal                        ,1800,08,24, 33.7, -10.6,          ,   ,   ,    060002,     Moderate Breeze, 4, 6.7,     ,    ,     ,    
Bengal                        ,1800,08,25, 34.0,  -8.9,          ,   ,   ,    049002,        Fresh Breeze, 5, 9.3,     ,    ,30280,1021.8
Georgiana 1                   ,1800,09,26, 39.2, -12.8,          ,   ,   ,          ,                    ,  ,    , 6400,17.8,     ,    
Georgiana 1                   ,1800,09,27, 36.7, -14.0,          ,   ,   ,    049002,        Fresh Breeze, 5, 9.3, 6600,18.9,     ,    
Calcutta 4                    ,1801,04,10, 38.2, -15.4,          ,   ,   ,          ,                    ,  ,    , 5950,15.3,30120,1016.8
Earl Howe                     ,1801,05,02, 38.8, -11.0,V         ,   ,   ,    049002,        Fresh Breeze, 5, 9.3, 6500,18.3,29800,1005.6
Henry Dundas                  ,1801,05,02, 39.1, -13.3,NW        ,315,292,    042049,       Blowing Fresh, 6,12.3,     ,    ,     ,    
Lord Thurlow                  ,1801,05,02, 38.8, -12.2,WXN       ,281,260,    049002,        Fresh Breeze, 5, 9.3, 6200,16.7,     ,    
Earl Howe                     ,1801,05,03, 37.5, -13.3,          ,   ,   ,          ,                    ,  ,    , 6500,18.3,29900,1008.8
Henry Dundas                  ,1801,05,03, 37.8, -12.3,V         ,   ,   ,    058015,          Light Wind,  ,    , 6500,18.3,     ,    
Lord Thurlow                  ,1801,05,03, 37.5, -11.8,          ,   ,   ,    058015,          Light Wind,  ,    , 6200,16.7,     ,    
Earl Howe                     ,1801,05,07, 34.3, -13.2,NWXN      ,326,305,          ,                    ,  ,    , 6500,18.3,29900,1008.5
Henry Dundas                  ,1801,05,07, 34.3, -15.5,          ,   ,   ,    049002,        Fresh Breeze, 5, 9.3, 6400,17.8,     ,    
Lord Thurlow                  ,1801,05,07, 34.3, -15.5,NWXN      ,326,305,    049002,        Fresh Breeze, 5, 9.3, 6300,17.2,     ,    
Carnatic 2                    ,1801,05,24, 37.7,  -9.0,S         ,180,158,    055   ,          Increasing,  ,    , 5900,15.0,     ,    
Carnatic 2                    ,1801,05,26, 38.0, -14.1,          ,   ,   ,    055   ,          Increasing,  ,    , 6100,16.1,     ,    
Calcutta 4                    ,1801,05,30, 32.5, -10.7,SWXS      ,213,202,          ,                    ,  ,    ,     ,    ,     ,    
Asia 4                        ,1801,05,31, 33.6, -15.3,          ,   ,   ,    048005,           Fine Gale, 5, 9.3, 6400,17.8,     ,    
Asia 4                        ,1801,06,01, 34.4, -14.3,S         ,180,171,    069005,         Strong Gale, 9,22.6, 5800,14.4,     ,    
Walpole 5                     ,1801,06,01, 34.3, -14.4,          ,   ,   ,    069002,       Strong Breeze, 6,12.3, 6100,16.1,     ,    
